Date,Rate
2016-10-03,"0,3115"
2016-10-04,"0,307"
2016-10-05,"0,3105"
2016-10-06,"0,3096"
2016-10-07,"0,3105"
2016-10-08,"0,3105"
2016-10-09,"0,3105"
2016-10-10,"0,3119"
2016-10-11,"0,313"
2016-10-12,"0,3123"
2016-10-13,"0,3147"
2016-10-14,"0,312"
2016-10-15,"0,312"
2016-10-16,"0,312"
2016-10-17,"0,3123"
2016-10-18,"0,3136"
2016-10-19,"0,3155"
2016-10-20,"0,3181"
2016-10-21,"0,3174"
2016-10-22,"0,3174"
2016-10-23,"0,3174"
2016-10-24,"0,3201"
2016-10-25,"0,3211"
2016-10-26,"0,3184"
2016-10-27,"0,3155"
2016-10-28,"0,3119"
2016-10-29,"0,3119"
2016-10-30,"0,3119"
2016-10-31,"0,3135"
2016-11-01,"0,309"
2016-11-02,"0,309"
2016-11-03,"0,3085"
2016-11-04,"0,3093"
2016-11-05,"0,3093"
2016-11-06,"0,3093"
2016-11-07,"0,3124"
2016-11-08,"0,3155"
2016-11-09,"0,3109"
2016-11-10,"0,2953"
2016-11-11,"0,2949"
2016-11-12,"0,2949"
2016-11-13,"0,2949"
2016-11-14,"0,2913"
2016-11-15,"0,2907"
2016-11-16,"0,2924"
2016-11-17,"0,2924"
2016-11-18,"0,2955"
2016-11-19,"0,2955"
2016-11-20,"0,2955"
2016-11-21,"0,2983"
2016-11-22,"0,2981"
2016-11-23,"0,2946"
2016-11-24,"0,2949"
2016-11-25,"0,2922"
2016-11-26,"0,2922"
2016-11-27,"0,2922"
2016-11-28,"0,2954"
2016-11-29,"0,2942"
2016-11-30,"0,2955"
2016-12-01,"0,288"
2016-12-02,"0,2878"
2016-12-03,"0,2878"
2016-12-04,"0,2878"
2016-12-05,"0,2923"
2016-12-06,"0,2934"
2016-12-07,"0,2956"
2016-12-08,"0,2963"
2016-12-09,"0,296"
2016-12-10,"0,296"
2016-12-11,"0,296"
2016-12-12,"0,2995"
2016-12-13,"0,2998"
2016-12-14,"0,2967"
2016-12-15,"0,2968"
2016-12-16,"0,2949"
2016-12-17,"0,2949"
2016-12-18,"0,2949"
2016-12-19,"0,2972"
2016-12-20,"0,2981"
2016-12-21,"0,3005"
2016-12-22,"0,3042"
2016-12-23,"0,3058"
2016-12-24,"0,3058"
2016-12-25,"0,3058"
2016-12-26,"0,3052"
2016-12-27,"0,3057"
2016-12-28,"0,3044"
2016-12-29,"0,3073"
2016-12-30,"0,3073"
2016-12-31,"0,3073"
2017-01-01,"0,3073"
2017-01-02,"0,3044"
2017-01-03,"0,3063"
2017-01-04,"0,311"
2017-01-05,"0,3126"
2017-01-06,"0,3101"
2017-01-07,"0,3101"
2017-01-08,"0,3101"
2017-01-09,"0,3128"
2017-01-10,"0,3129"
2017-01-11,"0,3127"
2017-01-12,"0,3137"
2017-01-13,"0,3105"
2017-01-14,"0,3105"
2017-01-15,"0,3105"
2017-01-16,"0,3085"
2017-01-17,"0,3114"
2017-01-18,"0,3095"
2017-01-19,"0,3129"
2017-01-20,"0,3155"
2017-01-21,"0,3155"
2017-01-22,"0,3155"
